                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.66736,                0.78813,                 1.0092,                 0.5907,                0.91752,                0.75038,                0.40903,                 1.4414,                0.99024,                 1.5135,               0.001882,               0.001882,               0.001882
                     84,                 0.6561,                0.73897,                0.99667,                0.59142,                 0.9116,                0.75151,                 0.4047,                 1.4402,                  1.009,                 1.5238,               0.001783,               0.001783,               0.001783
                     85,                0.65061,                 0.7886,                 1.0028,                0.62467,                 0.8859,                0.76938,                0.42318,                 1.4005,                0.98748,                 1.4774,               0.001684,               0.001684,               0.001684
                     86,                0.65728,                0.77489,                 1.0097,                0.60842,                0.87539,                0.73483,                0.39723,                 1.4332,                 1.1288,                 1.5094,               0.001585,               0.001585,               0.001585
                     87,                0.64414,                0.72131,                 1.0045,                0.60876,                0.87983,                 0.7379,                0.39026,                 1.4707,                 1.1831,                 1.5297,               0.001486,               0.001486,               0.001486
                     88,                0.63676,                0.76453,                  1.003,                0.61396,                0.86884,                0.72874,                0.37768,                 1.5215,                 1.0943,                  1.569,               0.001387,               0.001387,               0.001387
                     89,                0.62427,                0.73018,                0.98911,                0.60772,                0.87882,                0.75495,                0.39571,                 1.4825,                 1.0575,                 1.5462,               0.001288,               0.001288,               0.001288
                     90,                0.55756,                0.66191,                0.92127,                0.61983,                0.91541,                 0.7564,                0.40738,                 1.4123,                 1.0446,                 1.5004,               0.001189,               0.001189,               0.001189
                     91,                0.55249,                0.65563,                 0.9284,                0.61262,                0.90459,                0.75088,                0.42073,                 1.3945,                  1.112,                 1.5043,                0.00109,                0.00109,                0.00109
                     92,                0.52249,                0.65865,                0.90581,                0.60262,                 0.9017,                0.74839,                0.42196,                 1.4109,                 1.0627,                 1.5075,               0.000991,               0.000991,               0.000991
                     93,                0.53421,                0.67034,                0.92038,                0.60959,                0.91002,                0.76554,                0.43684,                 1.3953,                 1.0537,                 1.4798,               0.000892,               0.000892,               0.000892
                     94,                0.51101,                0.62917,                0.90676,                0.60501,                0.92586,                0.75826,                0.42973,                 1.3945,                  1.212,                 1.4694,               0.000793,               0.000793,               0.000793
                     95,                0.49948,                0.66851,                0.90755,                0.59607,                0.91697,                0.76016,                0.41745,                 1.4707,                  1.122,                 1.5509,               0.000694,               0.000694,               0.000694
                     96,                0.49906,                0.63356,                0.89364,                0.62232,                0.82035,                0.75422,                0.41981,                 1.4553,                 1.0914,                 1.5449,               0.000595,               0.000595,               0.000595
                     97,                0.48356,                0.63151,                0.90166,                0.60279,                0.86317,                0.75215,                0.40977,                 1.4824,                 1.1167,                 1.5733,               0.000496,               0.000496,               0.000496
                     98,                0.48447,                 0.6252,                0.90221,                0.60455,                0.88588,                0.74705,                0.40977,                 1.4697,                 1.1445,                 1.5508,               0.000397,               0.000397,               0.000397
                     99,                0.46286,                0.65223,                0.89499,                0.60041,                0.87832,                0.75026,                0.41251,                 1.4731,                 1.1212,                 1.5489,               0.000298,               0.000298,               0.000298
